grid_id,sum_rel_obs_all,n_indiv_rel_obs_all,mean_rel_obs_all,sum_rel_obs_dry,n_indiv_rel_obs_dry,mean_rel_obs_dry,sum_rel_obs_wet,n_indiv_rel_obs_wet,mean_rel_obs_wet,sum_rel_obs_males,n_indiv_rel_obs_males,mean_rel_obs_males,sum_rel_obs_females,n_indiv_rel_obs_females,mean_rel_obs_females,sum_rel_obs_dry_male,n_indiv_rel_obs_dry_male,mean_rel_obs_dry_male,sum_rel_obs_dry_female,n_indiv_rel_obs_dry_female,mean_rel_obs_dry_female,sum_rel_obs_wet_male,n_indiv_rel_obs_wet_male,mean_rel_obs_wet_male,sum_rel_obs_wet_female,n_indiv_rel_obs_wet_female,mean_rel_obs_wet_female,road_density,major_road_density,minor_road_density,distance_to_road_km,distance_to_major_road_km,distance_to_minor_road_km
grid_10856,5.32761187124485,6,0.887935311874142,5.78460803617104,10,0.578460803617104,14.2242201833218,10,1.42242201833218,0,0,0,5.32761187124485,6,0.887935311874142,0,0,0,2.89230401808552,5,0.578460803617104,0,0,0,7.11211009166092,5,1.42242201833218,0,0,0,2.81965353580725,22.485933710277,2.81965353580725
grid_10857,9.23038940965936,10,0.923038940965936,26.8435239512821,18,1.49130688618234,12.6450848976886,14,0.9032203498349,0,0,0,9.23038940965936,10,0.923038940965936,0,0,0,13.4217619756411,9,1.49130688618234,0,0,0,6.3225424488443,7,0.9032203498349,1,0,1,1.47262925672699,24.0011333862411,1.47262925672699
grid_10858,12.6841415586761,9,1.40934906207512,41.9849663173751,18,2.33249812874306,12.3237585904635,14,0.880268470747393,0,0,0,12.6841415586761,9,1.40934906207512,0,0,0,20.9924831586876,9,2.33249812874306,0,0,0,6.16187929523175,7,0.880268470747393,1,0,1,1.98828786406072,19.6847390739602,1.98828786406072
grid_10859,14.067779836339,11,1.27888907603082,28.9367251478571,14,2.06690893913265,27.7923019925834,20,1.38961509962917,0,0,0,14.067779836339,11,1.27888907603082,0,0,0,14.4683625739285,7,2.06690893913265,0,0,0,13.8961509962917,10,1.38961509962917,1,0,1,2.73243635789371,17.9796736646094,2.73243635789371
grid_10860,16.8255146397943,12,1.40212621998286,54.0102865472589,24,2.25042860613579,17.3591274155084,18,0.964395967528242,0,0,0,16.8255146397943,12,1.40212621998286,0,0,0,27.0051432736294,12,2.25042860613579,0,0,0,8.67956370775418,9,0.964395967528242,1,0,1,0.966930356902481,14.436163236411,0.966930356902481
grid_10861,0.837424198671672,1,0.837424198671672,1.29589632829374,2,0.647948164146868,1.73333333333333,2,0.866666666666667,0.837424198671672,1,0.837424198671672,0,0,0,0.647948164146868,1,0.647948164146868,0,0,0,0.866666666666667,1,0.866666666666667,0,0,0,0,0,0,7.78094122331508,7.78094122331508,287.833226145071
grid_10862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3309906457339,19.9285646185029,5.3309906457339
grid_10863,8.14390695259874,9,0.904878550288749,16.5507542882625,16,1.0344221430164,16.2218478039372,12,1.3518206503281,0,0,0,8.14390695259874,9,0.904878550288749,0,0,0,8.27537714413123,8,1.0344221430164,0,0,0,8.11092390196859,6,1.3518206503281,1,0,1,0.308847441540902,27.4603447211396,0.308847441540902
grid_10864,16.8177902833735,10,1.68177902833735,61.5582560753528,18,3.41990311529738,13.7601201691313,14,0.982865726366523,0,0,0,16.8177902833735,10,1.68177902833735,0,0,0,30.7791280376764,9,3.41990311529738,0,0,0,6.88006008456566,7,0.982865726366523,1,0,1,1.34459529442196,23.7953645097487,1.34459529442196
grid_10865,25.1871084199888,11,2.28973712908989,73.2715895349763,18,4.07064386305424,32.1893468198319,22,1.46315212817418,0,0,0,25.1871084199888,11,2.28973712908989,0,0,0,36.6357947674882,9,4.07064386305424,0,0,0,16.094673409916,11,1.46315212817418,3,0,3,0.603185527410521,20.8934228170175,0.603185527410521
