Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
3595,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 22:08:48 UTC,Every 1 hour,-23.771888°,28.375402°,(-),10 meters,0 km/h,3.69 Volt,26°C,(-),Y,"[2078,746,14990]",N,0,Y,1,
3596,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 23:09:50 UTC,Every 1 hour,-23.772763°,28.376922°,(-),<10 meters,0 km/h,3.69 Volt,26°C,(-),Y,"[2784,-1865,15131]",N,0,N,2,
3597,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 0:09:24 UTC,Every 1 hour,-23.773167°,28.378125°,(-),<10 meters,0 km/h,3.69 Volt,26°C,(-),Y,"[-13684,1045,7369]",N,0,N,2,
3598,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 1:10:20 UTC,Every 1 hour,-23.773250°,28.378020°,(-),10 meters,0 km/h,3.69 Volt,27°C,(-),Y,"[-14225,846,6075]",N,0,Y,1,
3599,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 2:10:50 UTC,Every 1 hour,-23.773265°,28.378005°,(-),10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[15186,-1805,3975]",N,0,N,2,
3600,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 3:10:17 UTC,Every 1 hour,-23.773322°,28.378142°,(-),10 meters,0 km/h,3.69 Volt,29°C,(-),Y,"[2162,617,15251]",N,0,Y,0,
3601,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 4:11:02 UTC,Every 1 hour,-23.773275°,28.377995°,(-),10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[1798,7849,13661]",N,0,N,2,
3602,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 5:10:53 UTC,Every 1 hour,-23.770868°,28.378710°,(-),10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[2621,1082,15282]",N,0,N,2,
3603,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 6:11:32 UTC,Every 1 hour,-23.768535°,28.378938°,(-),<10 meters,0 km/h,3.69 Volt,30°C,(-),Y,"[2147,942,15239]",N,0,Y,0,
3604,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 7:11:27 UTC,Every 1 hour,-23.766608°,28.378623°,(-),10 meters,0 km/h,3.69 Volt,32°C,(-),Y,"[2622,1270,15333]",N,0,Y,0,
