cluster_id,park_id,tree_cover_1000m_coef,initial_tree_cover,initial_canopy_height,canopy_height_900m_coef,mean_density_km2,elevation,mat,map,n_deposition,human_modification,fire_frequency,fire_frequency_sd,months_extreme_drought,mat_coef,prec_coef,sd_local_density_km2,local_density_km2,n,cv_local_density_km2,mean_density_km2_scaled
limpopo,Kaingo Private Game Reserve,1.39619858446189,0.472078220338607,0.472078220338607,2.34433783468653,0.149709278811032,1082.9682722248,20.2979477741679,464.048467167088,663.142456054688,0.107308260119352,0.0297179611720598,0.0297179611720598,23.000000015634,0.038144661813475,2.90053085826277,0.0593159652563821,0.206569306297934,122,28.7148010125139,-0.868854102466619
limpopo,Klaserie Private Nature Reserve,2.75281579292674,0.200042592831982,0.200042592831982,2.46952194978996,1.17917969555455,399.024109275974,22.5226394108364,567.088825381532,310.056060791016,0.102354975797388,0.00548931411654681,0.00548931411654681,14.0000000948809,0.0181940722308878,2.19348115068558,0.390551036191132,1.39008561382406,392,28.0954663732361,0.285354239081867
limpopo,Kruger National Park,2.11112376153231,0.238837001163902,0.238837001163902,2.68775388519867,0.7034042604334,331.701977937534,22.8522147835985,541.808869864158,286.064849345847,0.0839434758895524,0.0745647585848616,0.0745647585848616,9.87703756366875,0.0161464478551351,3.88398859405165,0.119055607209484,0.750705505433714,6372,15.8591626606895,-0.248069516462053
limpopo,Lapalala Nature Reserve,0.963740573334453,0.223447563458351,0.223447563458351,2.18299429572885,0.036020088371704,1144.6786669435,19.6990711342575,517.032746056886,357.29113595642,0.100782736456632,0.0228288712595975,0.0228288712595975,5,0.035700782268149,4.16737529567936,0.0137196687357476,0.0419729528070353,351,32.6869276956086,-0.99631868019004
limpopo,Letaba Ranch Nature Reserve,2.1531020783563,0.0293212247130501,0.0293212247130501,2.75336049104992,0.629443573028163,372.555572509766,22.7850221332751,545.06466915733,216.188551651804,0.0786165816611366,0.0591657438168401,0.0591657438168401,11.9753070128591,0.0209551605596841,2.99643847513118,0.260948591931596,0.735950520846298,38,35.4573554254056,-0.330991804428151
limpopo,Limpopo,2.01082966531635,0.504784814514686,0.504784814514686,3.3820191699953,0.0742317328536458,213.130372845329,23.7881919740112,485.995207700746,206.792179585974,0.052222290660562,0.0863040710255238,0.0863040710255238,10.6323283516691,0.0144657294179434,4.9296648618396,0.0154567839673186,0.0776702986876687,7457,19.90050795282,-0.953477042307084
limpopo,Madikwe Nature Reserve,2.01610520441474,0.0343207617039536,0.0343207617039536,2.31078931544591,1.30600425386786,1043.10307830514,20.4831131129589,565.653864888312,632.810974121094,0.129911921773721,0.0566555489028705,0.0566555489028705,9,0.0464992072910587,-0.0878676297588878,0.531763884480437,1.57477975319699,103,33.7675083389212,0.427545758855178
limpopo,Manyeleti Nature Reserve,2.66937825735323,0.301174099495014,0.301174099495014,2.78525381882985,1.03192092700961,402.826279703776,22.0627161661784,620.327006022136,310.056060791016,0.0843887227276961,0.0622538756889602,0.0622538756889602,11.9999999364217,0.0167930568533733,3.53753314301366,0.387110708819342,1.70917489729558,30,22.6489816479206,0.120252555481887
limpopo,Mapungupwe National Park,0.19031345662905,0.0696601578406906,0.0696601578406906,2.63177052269811,0.88086762578877,551.129593558934,23.6513155232305,349.966734070709,230.72088866303,0.147708878353022,0.000225023592592798,0.000225023592592798,4.41807145657747,0.0145690229908091,5.73507266230763,0.871403042932789,1.53571758163332,69,56.7424019464572,-0.0491034332399979
limpopo,Northern Tuli,-0.0904312712291638,0.0438136819471884,0.0438136819471884,2.00345044069473,0.619654109771009,578.01903157126,23.6358548275879,326.531572698091,235.882695382802,0.0924134258941518,0.000325851011363039,0.000325851011363039,4.29798185970979,0.0131617218199685,5.87223694246592,0.25819648658252,0.688058318731331,573,37.5253782351753,-0.341967428367333
limpopo,Pilanesberg National Park,0.490968552567405,0.103225787040329,0.103225787040329,2.0271494690238,0.382584841465085,1244.39486191913,18.620982501565,669.111013831162,1130.56493917325,0.198602843643507,0.36680713374091,0.36680713374091,12.8562127264535,0.053096680376987,0.287173647650388,0.122695605631222,0.478340839406883,328,25.6502467536241,-0.60776168777796
limpopo,Sabie Sands Private Nature Reserve,2.67497823922416,0.28700719354823,0.28700719354823,2.2206494164543,1.73442368175705,343.578626346284,22.233088758426,608.524038686539,310.056060791016,0.125690250470044,0.0370782090161253,0.0370782090161253,12.0000000243751,0.0174912606799572,2.27341938244241,0.603645003596047,2.09327717398151,313,28.8373183971565,0.907875518029141
limpopo,Timbavati Private Nature Reserve,2.73883653979847,0.161673221556845,0.161673221556845,2.60774707503435,1.64787761446124,406.215694892697,22.3231122435593,579.879819916516,310.056060791016,0.0937129791099124,0.0214850128953491,0.0214850128953491,13.8292724388402,0.0152931121880795,3.48385053073384,0.867330212131808,2.22708709907234,164,38.9446022337016,0.810842916434794
limpopo,Umbabat Private Nature Reserve,1.73432826867227,0.25400502870188,0.25400502870188,2.37398353744956,1.103954696904,340.135554594152,22.8427617690143,536.176267736099,310.056060791016,0.108542969998191,0.000291710965992773,0.000291710965992773,14.0000003646402,0.0171087861549633,3.53868059899273,0.445510616990619,1.80476686749881,34,24.6852169670005,0.201014446968083
luangwa,Kasungu National Park,1.39912246057182,0.736657371378353,0.736657371378353,4.14473225547378,0.054249806729489,1092.70321194467,21.4369986922653,948.829293814548,350.038202756355,0.0201449745836166,0.126498462284997,0.126498462284997,0.668884124565456,0.028961858809656,3.41054959520949,0.00495209141938879,0.0586347613964069,1755,8.44565800465976,-0.975880120081443
luangwa,Luambe,0.876067720043072,0.701081401440188,0.701081401440188,3.97625539182225,0.195081954247595,583.065846246504,25.5120015051578,1000.72965059392,333.905578613281,0.117082452814635,0.291473834276433,0.291473834276433,0,0.0373219588970885,-0.532177516022081,0.083785092814219,0.236307561689365,257,35.4559508020981,-0.817983752415268
luangwa,North Luangwa,0.376944567745937,0.644723901177558,0.644723901177558,3.98168754179973,0.75997574483735,750.384166081268,23.7802801187217,1166.62889094146,310.887531419252,0.0360544565004575,0.280784192430513,0.280784192430513,1.3386038115427,0.0299782476312727,-0.99666746031241,0.0642221901411067,0.795354026543303,3987,8.07466712908006,-0.184643430456236
luangwa,South Luangwa,0.890055049869375,0.665997525396573,0.665997525396573,4.52934979520904,0.471334535694518,598.170766480105,24.8814505288493,1058.13860208799,327.893993604044,0.0613937498890137,0.471036061579079,0.471036061579079,0,0.0423760951569312,-4.63905796541061,0.155247646198984,0.487479673321656,7769,31.8469988996948,-0.508258452208045
