year,orig_name,population_count,mean_population_count,park_id,wdpa_pid,iso_3,area_km2
2010,Nxai Pan,1141,441,Nxai Pan,601,BWA,2602.74097155435
2010,Makgakgadi,740,725.714285714286,Makgadikgadi Pans,1224,BWA,4915.68507830921
2010,Northern Tuli,463,466.142857142857,Northern Tuli,300280,BWA,752.262996069079
2010,Mapungubwe,280,134.857142857143,Mapungupwe National Park,308687,ZAF,153.095810209151
2010,Makhuya,73,82.5,Makhuya,,,
2010,Kruger,13750,13544,Kruger National Park,873,ZAF,19254.930289525
2010,Klaserie,659,698.241379310345,Klaserie Private Nature Reserve,300443,ZAF,592.141623488501
2010,Balule,221,455.964285714286,Balule Nature Reserve,555571115,ZAF,205.38466604819
2010,Umbabat,109,160.851851851852,Umbabat Private Nature Reserve,555564082,ZAF,145.705120239947
2010,Timbavati,259,555.034482758621,Timbavati Private Nature Reserve,555564070,ZAF,336.817781786596
2010,Sabie Sands,1260,1037.71428571429,Sabie Sands Private Nature Reserve,351116,ZAF,598.304956643026
2010,Limpopo,1425,821.5,Limpopo,20295,MOZ,11066.6957165025
2010,Tembe,158,169.076923076923,Tembe Elephant Park,39758,ZAF,299.868265481235
2010,HIP,550,635,Hluhluwe – iMfolozi Park,555571105,ZAF,898.295409108145
2010,Pilanesberg,208,193.176470588235,Pilanesberg National Park,9129,ZAF,504.92452823922
2010,Madikwe,650,711.705882352941,Madikwe Nature Reserve,39832,ZAF,544.949130330284
2011,North Luangwa,2414,3577.375,North Luangwa,1088,ZMB,4707.22259796019
2011,Kafue,2280,2930.125,Kafue,1085,ZMB,22446.8596605454
2011,Chobe,22998,26523.8888888889,Chobe,600,BWA,10561.8634672844
2011,Venetia Limpopo,105,78,Venetia Limpopo,,,
2011,Kruger,14273,13544,Kruger National Park,873,ZAF,19254.930289525
2011,Klaserie,771,698.241379310345,Klaserie Private Nature Reserve,300443,ZAF,592.141623488501
2011,Balule,304,455.964285714286,Balule Nature Reserve,555571115,ZAF,205.38466604819
2011,Umbabat,192,160.851851851852,Umbabat Private Nature Reserve,555564082,ZAF,145.705120239947
2011,Timbavati,384,555.034482758621,Timbavati Private Nature Reserve,555564070,ZAF,336.817781786596
2011,Sabie Sands,1181,1037.71428571429,Sabie Sands Private Nature Reserve,351116,ZAF,598.304956643026
2011,Maputo,228,226.6,Maputo,4652,MOZ,1043.9179375715
2011,Tembe,94,169.076923076923,Tembe Elephant Park,39758,ZAF,299.868265481235
2011,Pongola,79,74.4,Pongola,,,
2011,HIP,600,635,Hluhluwe – iMfolozi Park,555571105,ZAF,898.295409108145
2011,Pilanesberg,183,193.176470588235,Pilanesberg National Park,9129,ZAF,504.92452823922
2011,Madikwe,637,711.705882352941,Madikwe Nature Reserve,39832,ZAF,544.949130330284
2012,North Luangwa,2214,3577.375,North Luangwa,1088,ZMB,4707.22259796019
2012,South Luangwa,2183,4105.6,South Luangwa,1086,ZMB,8710.58598316022
2012,Luambe,9,70.3333333333333,Luambe,1100,ZMB,360.532236846815
2012,Khaudum,2755,4289.2,Khaudum,17999,NAM,3860.22769399365
2012,Chobe,26134,26523.8888888889,Chobe,600,BWA,10561.8634672844
2012,Nxai Pan,185,441,Nxai Pan,601,BWA,2602.74097155435
2012,Northern Tuli,320,466.142857142857,Northern Tuli,300280,BWA,752.262996069079
2012,Mapungubwe,127,134.857142857143,Mapungupwe National Park,308687,ZAF,153.095810209151
2012,Kruger,16570,13544,Kruger National Park,873,ZAF,19254.930289525
2012,Klaserie,867,698.241379310345,Klaserie Private Nature Reserve,300443,ZAF,592.141623488501
2012,Balule,243,455.964285714286,Balule Nature Reserve,555571115,ZAF,205.38466604819
2012,Umbabat,73,160.851851851852,Umbabat Private Nature Reserve,555564082,ZAF,145.705120239947
2012,Timbavati,483,555.034482758621,Timbavati Private Nature Reserve,555564070,ZAF,336.817781786596
2012,Maputo,264,226.6,Maputo,4652,MOZ,1043.9179375715
2012,Tembe,215,169.076923076923,Tembe Elephant Park,39758,ZAF,299.868265481235
2012,Pongola,77,74.4,Pongola,,,
2012,HIP,650,635,Hluhluwe – iMfolozi Park,555571105,ZAF,898.295409108145
2012,Pilanesberg,199,193.176470588235,Pilanesberg National Park,9129,ZAF,504.92452823922
2012,Madikwe,912,711.705882352941,Madikwe Nature Reserve,39832,ZAF,544.949130330284
2013,North Luangwa,5097,3577.375,North Luangwa,1088,ZMB,4707.22259796019
2013,South Luangwa,6165,4105.6,South Luangwa,1086,ZMB,8710.58598316022
2013,Khaudum,3089,4289.2,Khaudum,17999,NAM,3860.22769399365
2013,Bwabwata,318,238.5,Bwabwata,303692,NAM,6310.33027437211
2013,Sioma Ngwezi,133,734.333333333333,Sioma Ngwezi,1087,ZMB,4503.10814034236
2013,Gonarezhou,10151,9267,Gonarezhou,1104,ZWE,4946.61705661665
2013,Klaserie,555,698.241379310345,Klaserie Private Nature Reserve,300443,ZAF,592.141623488501
2013,Balule,544,455.964285714286,Balule Nature Reserve,555571115,ZAF,205.38466604819
2013,Umbabat,30,160.851851851852,Umbabat Private Nature Reserve,555564082,ZAF,145.705120239947
2013,Timbavati,464,555.034482758621,Timbavati Private Nature Reserve,555564070,ZAF,336.817781786596
2013,Maputo,288,226.6,Maputo,4652,MOZ,1043.9179375715
2013,Tembe,220,169.076923076923,Tembe Elephant Park,39758,ZAF,299.868265481235
2013,Pilanesberg,176,193.176470588235,Pilanesberg National Park,9129,ZAF,504.92452823922
2013,Madikwe,875,711.705882352941,Madikwe Nature Reserve,39832,ZAF,544.949130330284
