term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,n_vertices,aic,sanity_checks,response,log_cpo_approx,clean_response,clean_term
density_km2_estimate_scaled,0.0118093475177196,0.0138812080439474,-0.015397320310325,0.0390160153457641,non-significant,18,150,938,-218690.622089126,TRUE,mean_evi_coef,1.56342205377938,EVI Trend,Elephant Density Trend
mat_coef_scaled,-0.0043900557008224,0.00185535451925251,-0.00802648373711094,-0.000753627664533866,negative,18,150,938,-218690.622089126,TRUE,mean_evi_coef,1.56342205377938,EVI Trend,MAT Trend
prec_coef_scaled,-0.0064278632483269,0.00214032118498672,-0.0106228156862489,-0.00223291081040485,negative,18,150,938,-218690.622089126,TRUE,mean_evi_coef,1.56342205377938,EVI Trend,Precipitation Trend
n_deposition_scaled,0.00648450615641544,0.00172403613848792,0.00310545741693361,0.00986355489589727,positive,18,150,938,-218690.622089126,TRUE,mean_evi_coef,1.56342205377938,EVI Trend,Nitrogen deposition
fire_frequency_scaled,-0.000587266067527264,0.000411129051971431,-0.00139306420238937,0.000218532067334837,non-significant,18,150,938,-218690.622089126,TRUE,mean_evi_coef,1.56342205377938,EVI Trend,Fire frequency
burned_area_coef_scaled,-0.00325332671964772,0.000320081703697241,-0.00388067533100454,-0.00262597810829091,negative,18,150,938,-218690.622089126,TRUE,mean_evi_coef,1.56342205377938,EVI Trend,Burned Area Trend
local_density_km2_scaled,-0.00401433162836558,0.00171854568348985,-0.00738261927379245,-0.000646043982938704,negative,18,100,1261,-218696.491263533,TRUE,mean_evi_coef,1.56350122811139,EVI Trend,Local Elephant Density
density_km2_estimate_scaled,0.0124588504427843,0.0151446390222239,-0.0172240965996344,0.042141797485203,non-significant,18,100,1261,-218696.491263533,TRUE,mean_evi_coef,1.56350122811139,EVI Trend,Elephant Density Trend
mat_coef_scaled,-0.00436846804836219,0.00185539831911218,-0.00800498193079821,-0.000731954165926161,negative,18,100,1261,-218696.491263533,TRUE,mean_evi_coef,1.56350122811139,EVI Trend,MAT Trend
prec_coef_scaled,-0.00641999445325441,0.00214147579041927,-0.0106172098762406,-0.0022227790302682,negative,18,100,1261,-218696.491263533,TRUE,mean_evi_coef,1.56350122811139,EVI Trend,Precipitation Trend
n_deposition_scaled,0.00646198135347749,0.00172783320614163,0.00307549049814752,0.00984847220880746,positive,18,100,1261,-218696.491263533,TRUE,mean_evi_coef,1.56350122811139,EVI Trend,Nitrogen deposition
fire_frequency_scaled,-0.000594029118107663,0.000411088322599349,-0.00139974742486737,0.000211689188652045,non-significant,18,100,1261,-218696.491263533,TRUE,mean_evi_coef,1.56350122811139,EVI Trend,Fire frequency
burned_area_coef_scaled,-0.0032474345412056,0.000320087594302362,-0.0038747946979363,-0.0026200743844749,negative,18,100,1261,-218696.491263533,TRUE,mean_evi_coef,1.56350122811139,EVI Trend,Burned Area Trend
local_density_km2_scaled,-0.00420616720113174,0.00172055359045297,-0.00757839027189063,-0.000833944130372841,negative,18,50,3079,-218835.755919986,TRUE,mean_evi_coef,1.56468273922415,EVI Trend,Local Elephant Density
density_km2_estimate_scaled,0.0137090696185511,0.0152567339251966,-0.0161935793965446,0.0436117186336468,non-significant,18,50,3079,-218835.755919986,TRUE,mean_evi_coef,1.56468273922415,EVI Trend,Elephant Density Trend
mat_coef_scaled,-0.0043700420855193,0.00185462095583756,-0.00800503236393418,-0.000735051807104426,negative,18,50,3079,-218835.755919986,TRUE,mean_evi_coef,1.56468273922415,EVI Trend,MAT Trend
