term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,n_vertices,aic,sanity_checks,response,sum_loglik,n,generic_r2,log_cpo_approx,clean_response,clean_term
(Intercept),0.569241812862596,0.123280937586598,0.327615615212534,0.810868010512658,positive,8,150,2715,180277.115534442,TRUE,tree_cover_1000m_coef,-87971.1841226484,75464,0.0309898525643526,-1.16573709480876,Woody Cover Trend,(Intercept)
local_density_km2_scaled,0.175237564216887,0.0237137285081967,0.128759510401661,0.221715618032113,positive,8,150,2715,180277.115534442,TRUE,tree_cover_1000m_coef,-87971.1841226484,75464,0.0309898525643526,-1.16573709480876,Woody Cover Trend,Local Elephant Density
percent_population_growth_scaled,0.0432841349601914,0.0346145137366617,-0.0245590653060324,0.111127335226415,non-significant,8,150,2715,180277.115534442,TRUE,tree_cover_1000m_coef,-87971.1841226484,75464,0.0309898525643526,-1.16573709480876,Woody Cover Trend,Elephant Population Growth
months_severe_drought_scaled,-0.117479044404015,0.0286563038537151,-0.173644367887333,-0.0613137209206972,negative,8,150,2715,180277.115534442,TRUE,tree_cover_1000m_coef,-87971.1841226484,75464,0.0309898525643526,-1.16573709480876,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.0969455473643774,0.0120227954896469,-0.120509793517576,-0.0733813012111789,negative,8,150,2715,180277.115534442,TRUE,tree_cover_1000m_coef,-87971.1841226484,75464,0.0309898525643526,-1.16573709480876,Woody Cover Trend,Fire frequency
mat_coef_scaled,-0.129860031623779,0.0511541939273089,-0.230120409379482,-0.0295996538680765,negative,8,150,2715,180277.115534442,TRUE,tree_cover_1000m_coef,-87971.1841226484,75464,0.0309898525643526,-1.16573709480876,Woody Cover Trend,MAT Trend
prec_coef_scaled,-0.111167023690861,0.04884601098157,-0.206903446003186,-0.015430601378536,negative,8,150,2715,180277.115534442,TRUE,tree_cover_1000m_coef,-87971.1841226484,75464,0.0309898525643526,-1.16573709480876,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,-0.116927907737726,0.0327196475978729,-0.181057238616399,-0.0527985768590523,negative,8,150,2715,180277.115534442,TRUE,tree_cover_1000m_coef,-87971.1841226484,75464,0.0309898525643526,-1.16573709480876,Woody Cover Trend,Nitrogen deposition
local_density_km2_scaled:percent_population_growth_scaled,-0.0979215864052605,0.0147087166848595,-0.126750141366389,-0.0690930314441326,negative,8,150,2715,180277.115534442,TRUE,tree_cover_1000m_coef,-87971.1841226484,75464,0.0309898525643526,-1.16573709480876,Woody Cover Trend,Local Ele. Density:Ele. Pop. Growth
local_density_km2_scaled:months_severe_drought_scaled,0.0445551060104976,0.0130473749621875,0.0189827209918204,0.0701274910291748,positive,8,150,2715,180277.115534442,TRUE,tree_cover_1000m_coef,-87971.1841226484,75464,0.0309898525643526,-1.16573709480876,Woody Cover Trend,Local Ele. Density:Drought Months
local_density_km2_scaled:fire_frequency_scaled,0.102743559724536,0.0163356889199875,0.0707261977787108,0.134760921670362,positive,8,150,2715,180277.115534442,TRUE,tree_cover_1000m_coef,-87971.1841226484,75464,0.0309898525643526,-1.16573709480876,Woody Cover Trend,Local Ele. Density:Fire Frequency
mat_coef_scaled:prec_coef_scaled,-0.0919324900953876,0.0267566906099941,-0.144374640036457,-0.0394903401543181,negative,8,150,2715,180277.115534442,TRUE,tree_cover_1000m_coef,-87971.1841226484,75464,0.0309898525643526,-1.16573709480876,Woody Cover Trend,MAT Trend:Prec Trend
(Intercept),0.569274069160498,0.123311731359171,0.327587516825245,0.810960621495752,positive,8,100,2977,180276.903738958,TRUE,tree_cover_1000m_coef,-87970.9111319072,75464,0.0308043545060863,-1.16573347731246,Woody Cover Trend,(Intercept)
local_density_km2_scaled,0.175243332389909,0.023714008845023,0.128764729124599,0.221721935655218,positive,8,100,2977,180276.903738958,TRUE,tree_cover_1000m_coef,-87970.9111319072,75464,0.0308043545060863,-1.16573347731246,Woody Cover Trend,Local Elephant Density
percent_population_growth_scaled,0.043271953807201,0.034615690460166,-0.0245735527947111,0.111117460409113,non-significant,8,100,2977,180276.903738958,TRUE,tree_cover_1000m_coef,-87970.9111319072,75464,0.0308043545060863,-1.16573347731246,Woody Cover Trend,Elephant Population Growth
months_severe_drought_scaled,-0.117532544020273,0.0286571373001922,-0.173699501028669,-0.0613655870118766,negative,8,100,2977,180276.903738958,TRUE,tree_cover_1000m_coef,-87970.9111319072,75464,0.0308043545060863,-1.16573347731246,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.0969443945639537,0.0120227391866967,-0.120508530365398,-0.0733802587625097,negative,8,100,2977,180276.903738958,TRUE,tree_cover_1000m_coef,-87970.9111319072,75464,0.0308043545060863,-1.16573347731246,Woody Cover Trend,Fire frequency
mat_coef_scaled,-0.129692934123554,0.051152428275515,-0.229949851265332,-0.0294360169817766,negative,8,100,2977,180276.903738958,TRUE,tree_cover_1000m_coef,-87970.9111319072,75464,0.0308043545060863,-1.16573347731246,Woody Cover Trend,MAT Trend
prec_coef_scaled,-0.11117905829767,0.0488471015309525,-0.206917618047509,-0.015440498547832,negative,8,100,2977,180276.903738958,TRUE,tree_cover_1000m_coef,-87970.9111319072,75464,0.0308043545060863,-1.16573347731246,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,-0.1170526943166,0.0327250662262592,-0.181192645511756,-0.0529127431214435,negative,8,100,2977,180276.903738958,TRUE,tree_cover_1000m_coef,-87970.9111319072,75464,0.0308043545060863,-1.16573347731246,Woody Cover Trend,Nitrogen deposition
local_density_km2_scaled:percent_population_growth_scaled,-0.0979051878571505,0.0147084467371587,-0.126733213730507,-0.0690771619837938,negative,8,100,2977,180276.903738958,TRUE,tree_cover_1000m_coef,-87970.9111319072,75464,0.0308043545060863,-1.16573347731246,Woody Cover Trend,Local Ele. Density:Ele. Pop. Growth
local_density_km2_scaled:months_severe_drought_scaled,0.0445588728131279,0.0130473928355238,0.0189864527633554,0.0701312928629004,positive,8,100,2977,180276.903738958,TRUE,tree_cover_1000m_coef,-87970.9111319072,75464,0.0308043545060863,-1.16573347731246,Woody Cover Trend,Local Ele. Density:Drought Months
local_density_km2_scaled:fire_frequency_scaled,0.10274428570822,0.0163357053960889,0.0707268914698296,0.134761679946611,positive,8,100,2977,180276.903738958,TRUE,tree_cover_1000m_coef,-87970.9111319072,75464,0.0308043545060863,-1.16573347731246,Woody Cover Trend,Local Ele. Density:Fire Frequency
mat_coef_scaled:prec_coef_scaled,-0.091869148611007,0.0267578707873035,-0.144313611657098,-0.0394246855649157,negative,8,100,2977,180276.903738958,TRUE,tree_cover_1000m_coef,-87970.9111319072,75464,0.0308043545060863,-1.16573347731246,Woody Cover Trend,MAT Trend:Prec Trend
(Intercept),0.58391554287521,0.124664851364288,0.339576924063167,0.828254161687253,positive,8,50,4706,180272.239224056,TRUE,tree_cover_1000m_coef,-87967.4875260515,75464,0.02589364271131,-1.16568810990739,Woody Cover Trend,(Intercept)
local_density_km2_scaled,0.175471129819181,0.0237229180148357,0.128975064901907,0.221967194736456,positive,8,50,4706,180272.239224056,TRUE,tree_cover_1000m_coef,-87967.4875260515,75464,0.02589364271131,-1.16568810990739,Woody Cover Trend,Local Elephant Density
percent_population_growth_scaled,0.0441673351153617,0.0347138460613405,-0.0238705529297333,0.112205223160457,non-significant,8,50,4706,180272.239224056,TRUE,tree_cover_1000m_coef,-87967.4875260515,75464,0.02589364271131,-1.16568810990739,Woody Cover Trend,Elephant Population Growth
months_severe_drought_scaled,-0.118339608599359,0.0286815973355109,-0.174554506396041,-0.0621247108026779,negative,8,50,4706,180272.239224056,TRUE,tree_cover_1000m_coef,-87967.4875260515,75464,0.02589364271131,-1.16568810990739,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.09678517394149,0.012023857433308,-0.120351501466018,-0.0732188464169621,negative,8,50,4706,180272.239224056,TRUE,tree_cover_1000m_coef,-87967.4875260515,75464,0.02589364271131,-1.16568810990739,Woody Cover Trend,Fire frequency
mat_coef_scaled,-0.128732397695692,0.0512005870669922,-0.229083704334304,-0.0283810910570803,negative,8,50,4706,180272.239224056,TRUE,tree_cover_1000m_coef,-87967.4875260515,75464,0.02589364271131,-1.16568810990739,Woody Cover Trend,MAT Trend
prec_coef_scaled,-0.111151576161062,0.0488983657287536,-0.206990611892287,-0.0153125404298375,negative,8,50,4706,180272.239224056,TRUE,tree_cover_1000m_coef,-87967.4875260515,75464,0.02589364271131,-1.16568810990739,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,-0.119072640838971,0.032808816595853,-0.183376739742223,-0.0547685419357188,negative,8,50,4706,180272.239224056,TRUE,tree_cover_1000m_coef,-87967.4875260515,75464,0.02589364271131,-1.16568810990739,Woody Cover Trend,Nitrogen deposition
local_density_km2_scaled:percent_population_growth_scaled,-0.098218211839887,0.0147258171078874,-0.12708028301427,-0.0693561406655038,negative,8,50,4706,180272.239224056,TRUE,tree_cover_1000m_coef,-87967.4875260515,75464,0.02589364271131,-1.16568810990739,Woody Cover Trend,Local Ele. Density:Ele. Pop. Growth
local_density_km2_scaled:months_severe_drought_scaled,0.0442501403503114,0.013053378508112,0.0186659885978427,0.0698342921027801,positive,8,50,4706,180272.239224056,TRUE,tree_cover_1000m_coef,-87967.4875260515,75464,0.02589364271131,-1.16568810990739,Woody Cover Trend,Local Ele. Density:Drought Months
local_density_km2_scaled:fire_frequency_scaled,0.102947673856995,0.0163380464162636,0.0709256913033743,0.134969656410615,positive,8,50,4706,180272.239224056,TRUE,tree_cover_1000m_coef,-87967.4875260515,75464,0.02589364271131,-1.16568810990739,Woody Cover Trend,Local Ele. Density:Fire Frequency
mat_coef_scaled:prec_coef_scaled,-0.0919460442771977,0.0268630503829335,-0.144596655542632,-0.0392954330117631,negative,8,50,4706,180272.239224056,TRUE,tree_cover_1000m_coef,-87967.4875260515,75464,0.02589364271131,-1.16568810990739,Woody Cover Trend,MAT Trend:Prec Trend
(Intercept),0.387343712688147,0.0944306939646538,0.202262953482302,0.572424471893992,positive,6,150,4046,172784.035600537,TRUE,tree_cover_1000m_coef,-83350.2710728645,75464,0.185138746565206,-1.10450375109807,Woody Cover Trend,(Intercept)
local_density_km2_scaled,0.158795648788365,0.0239383531195991,0.111877338824749,0.205713958751981,positive,6,150,4046,172784.035600537,TRUE,tree_cover_1000m_coef,-83350.2710728645,75464,0.185138746565206,-1.10450375109807,Woody Cover Trend,Local Elephant Density
percent_population_growth_scaled,0.0278097747233566,0.0391418948985249,-0.0489069295644042,0.104526479011117,non-significant,6,150,4046,172784.035600537,TRUE,tree_cover_1000m_coef,-83350.2710728645,75464,0.185138746565206,-1.10450375109807,Woody Cover Trend,Elephant Population Growth
months_severe_drought_scaled,-0.0483546285245823,0.0288536220026674,-0.104906688473343,0.0081974314241782,non-significant,6,150,4046,172784.035600537,TRUE,tree_cover_1000m_coef,-83350.2710728645,75464,0.185138746565206,-1.10450375109807,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.111918399676786,0.0123516001606988,-0.136127091143195,-0.0877097082103776,negative,6,150,4046,172784.035600537,TRUE,tree_cover_1000m_coef,-83350.2710728645,75464,0.185138746565206,-1.10450375109807,Woody Cover Trend,Fire frequency
mat_coef_scaled,-0.296771852015986,0.0524847546396293,-0.399640080847081,-0.193903623184891,negative,6,150,4046,172784.035600537,TRUE,tree_cover_1000m_coef,-83350.2710728645,75464,0.185138746565206,-1.10450375109807,Woody Cover Trend,MAT Trend
prec_coef_scaled,-0.256183000996255,0.0502702929003663,-0.354710964573253,-0.157655037419258,negative,6,150,4046,172784.035600537,TRUE,tree_cover_1000m_coef,-83350.2710728645,75464,0.185138746565206,-1.10450375109807,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,0.00191862917859802,0.0325209052662892,-0.0618211738879677,0.0656584322451637,non-significant,6,150,4046,172784.035600537,TRUE,tree_cover_1000m_coef,-83350.2710728645,75464,0.185138746565206,-1.10450375109807,Woody Cover Trend,Nitrogen deposition
