term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,n_vertices,aic,sanity_checks,response,log_cpo_approx,clean_response,clean_term
burned_area_coef_scaled,0.000320942713856093,8.33598070988147e-05,0.00015756049418421,0.000484324933527976,positive,14,150,1244,-409296.545239909,FALSE,habitat_diversity_100m_coef,2.90886229252195,Habitat Diversity Trend (100m),Burned Area Trend
(Intercept),-0.00236728287415877,0.000764076358505469,-0.003864845018268,-0.000869720730049536,negative,14,100,1521,-409295.806473915,FALSE,habitat_diversity_100m_coef,2.9088559132728,Habitat Diversity Trend (100m),(Intercept)
mean_density_km2_scaled,-0.000871633005269733,0.000726952248944425,-0.0022964332316812,0.000553167221141736,non-significant,14,100,1521,-409295.806473915,FALSE,habitat_diversity_100m_coef,2.9088559132728,Habitat Diversity Trend (100m),Mean Elephant Density
density_km2_estimate_scaled,0.000209750834769067,0.0003079763524569,-0.00039387172413647,0.000813373393674604,non-significant,14,100,1521,-409295.806473915,FALSE,habitat_diversity_100m_coef,2.9088559132728,Habitat Diversity Trend (100m),Elephant Density Trend
mat_coef_scaled,0.00131069096066225,0.000408943231530565,0.000509176955140919,0.00211220496618358,positive,14,100,1521,-409295.806473915,FALSE,habitat_diversity_100m_coef,2.9088559132728,Habitat Diversity Trend (100m),MAT Trend
prec_coef_scaled,-0.000511559480784761,0.000455666716866538,-0.00140464983479679,0.000381530873227264,non-significant,14,100,1521,-409295.806473915,FALSE,habitat_diversity_100m_coef,2.9088559132728,Habitat Diversity Trend (100m),Precipitation Trend
n_deposition_scaled,-0.000198863416812583,0.000237307373501321,-0.000663977322140967,0.000266250488515801,non-significant,14,100,1521,-409295.806473915,FALSE,habitat_diversity_100m_coef,2.9088559132728,Habitat Diversity Trend (100m),Nitrogen deposition
fire_frequency_scaled,0.000150097194741843,0.000106488098856551,-5.86156437991374e-05,0.000358810033282824,non-significant,14,100,1521,-409295.806473915,FALSE,habitat_diversity_100m_coef,2.9088559132728,Habitat Diversity Trend (100m),Fire frequency
burned_area_coef_scaled,0.000321427901389612,8.33582002021314e-05,0.000158048831177355,0.000484806971601869,positive,14,100,1521,-409295.806473915,FALSE,habitat_diversity_100m_coef,2.9088559132728,Habitat Diversity Trend (100m),Burned Area Trend
(Intercept),-0.00235915919995388,0.000760625969571744,-0.00384995870602036,-0.000868359693887408,negative,14,50,3283,-409295.895267772,FALSE,habitat_diversity_100m_coef,2.90889364797099,Habitat Diversity Trend (100m),(Intercept)
mean_density_km2_scaled,-0.000850889164978359,0.000724347759293375,-0.00227058468547566,0.000568806355518944,non-significant,14,50,3283,-409295.895267772,FALSE,habitat_diversity_100m_coef,2.90889364797099,Habitat Diversity Trend (100m),Mean Elephant Density
density_km2_estimate_scaled,0.000193829215892262,0.000307502291653485,-0.000408864200912101,0.000796522632696625,non-significant,14,50,3283,-409295.895267772,FALSE,habitat_diversity_100m_coef,2.90889364797099,Habitat Diversity Trend (100m),Elephant Density Trend
mat_coef_scaled,0.00125876602790499,0.000408851968806415,0.000457430894036128,0.00206010116177386,positive,14,50,3283,-409295.895267772,FALSE,habitat_diversity_100m_coef,2.90889364797099,Habitat Diversity Trend (100m),MAT Trend
prec_coef_scaled,-0.000534651229516793,0.0004548796463497,-0.00142619895366252,0.000356896494628936,non-significant,14,50,3283,-409295.895267772,FALSE,habitat_diversity_100m_coef,2.90889364797099,Habitat Diversity Trend (100m),Precipitation Trend
n_deposition_scaled,-0.000189750274929054,0.000237016269834712,-0.000654293627555117,0.000274793077697009,non-significant,14,50,3283,-409295.895267772,FALSE,habitat_diversity_100m_coef,2.90889364797099,Habitat Diversity Trend (100m),Nitrogen deposition
fire_frequency_scaled,0.000152531637502993,0.000106575690699663,-5.63528778958273e-05,0.000361416152901814,non-significant,14,50,3283,-409295.895267772,FALSE,habitat_diversity_100m_coef,2.90889364797099,Habitat Diversity Trend (100m),Fire frequency
burned_area_coef_scaled,0.000312003691698634,8.33693208793082e-05,0.000148602825359627,0.000475404558037641,positive,14,50,3283,-409295.895267772,FALSE,habitat_diversity_100m_coef,2.90889364797099,Habitat Diversity Trend (100m),Burned Area Trend
