term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,n_vertices,aic,sanity_checks,response,log_cpo_approx,clean_response,clean_term
mean_density_km2_scaled:months_severe_drought_scaled,0.0304326232825345,0.0198536054621678,-0.00847972838658208,0.0693449749516511,non-significant,18,100,1271,199475.319280041,TRUE,tree_cover_1000m_coef,-1.30936896693937,Woody Cover Trend,Mean Ele. Density:Drought Months
mean_density_km2_scaled:fire_frequency_scaled,0.106232644407499,0.0135407110153314,0.0796933384923848,0.132771950322613,positive,18,100,1271,199475.319280041,TRUE,tree_cover_1000m_coef,-1.30936896693937,Woody Cover Trend,Mean Ele. Density:Fire Frequency
mat_coef_scaled:prec_coef_scaled,0.0992681328776756,0.0224803529027634,0.0552074508285088,0.143328814926842,positive,18,100,1271,199475.319280041,TRUE,tree_cover_1000m_coef,-1.30936896693937,Woody Cover Trend,MAT Trend:Prec Trend
(Intercept),1.22222556706786,0.351692407379805,0.532921114967257,1.91153001916847,positive,18,50,3087,199253.535842777,TRUE,tree_cover_1000m_coef,-1.3079450889118,Woody Cover Trend,(Intercept)
mean_density_km2_scaled,-0.304655244255989,0.070681529611416,-0.443188496666565,-0.166121991845412,negative,18,50,3087,199253.535842777,TRUE,tree_cover_1000m_coef,-1.3079450889118,Woody Cover Trend,Mean Elephant Density
percent_population_growth_scaled,0.0339897725468159,0.0294237021593278,-0.0236796239773,0.0916591690709318,non-significant,18,50,3087,199253.535842777,TRUE,tree_cover_1000m_coef,-1.3079450889118,Woody Cover Trend,Elephant Population Growth
months_severe_drought_scaled,-0.255579133397457,0.0229086674811832,-0.30047929659438,-0.210678970200534,negative,18,50,3087,199253.535842777,TRUE,tree_cover_1000m_coef,-1.3079450889118,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.0579106804415455,0.0104255149475452,-0.078344314259018,-0.037477046624073,negative,18,50,3087,199253.535842777,TRUE,tree_cover_1000m_coef,-1.3079450889118,Woody Cover Trend,Fire frequency
mat_coef_scaled,0.110719723489131,0.0426923757420412,0.0270442046202784,0.194395242357983,positive,18,50,3087,199253.535842777,TRUE,tree_cover_1000m_coef,-1.3079450889118,Woody Cover Trend,MAT Trend
prec_coef_scaled,-0.0299391726423822,0.0455183754894751,-0.119153549236524,0.0592752039517597,non-significant,18,50,3087,199253.535842777,TRUE,tree_cover_1000m_coef,-1.3079450889118,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,-0.12377462847532,0.02826586747778,-0.179174710723551,-0.0683745462270895,negative,18,50,3087,199253.535842777,TRUE,tree_cover_1000m_coef,-1.3079450889118,Woody Cover Trend,Nitrogen deposition
mean_density_km2_scaled:percent_population_growth_scaled,-0.0896379806114366,0.0374615816923018,-0.163061331532253,-0.0162146296906201,negative,18,50,3087,199253.535842777,TRUE,tree_cover_1000m_coef,-1.3079450889118,Woody Cover Trend,Mean Ele. Density:Ele. Pop. Growth
mean_density_km2_scaled:months_severe_drought_scaled,0.0247093164065208,0.019838405153003,-0.014173243204079,0.0635918760171205,non-significant,18,50,3087,199253.535842777,TRUE,tree_cover_1000m_coef,-1.3079450889118,Woody Cover Trend,Mean Ele. Density:Drought Months
mean_density_km2_scaled:fire_frequency_scaled,0.105632593906649,0.0135031945805498,0.0791668188525352,0.132098368960763,positive,18,50,3087,199253.535842777,TRUE,tree_cover_1000m_coef,-1.3079450889118,Woody Cover Trend,Mean Ele. Density:Fire Frequency
mat_coef_scaled:prec_coef_scaled,0.0846221056263182,0.0227140922159228,0.0401033029415879,0.129140908311048,positive,18,50,3087,199253.535842777,TRUE,tree_cover_1000m_coef,-1.3079450889118,Woody Cover Trend,MAT Trend:Prec Trend
