term,estimate,std_error,statistic,p_value,individual_id,sex,n_true,n_total,ci_lb,ci_ub,evi_mean_mean,distance_to_water_km_mean,distance_to_settlement_km_mean,human_modification_mean,slope_mean,evi_mean_range,distance_to_water_km_range,distance_to_settlement_km_range,human_modification_range,slope_range,season
human_modification,-0.117791138132498,0.0533564862649122,-2.20762547120647,0.027270392054833,Winslow,M,1186,13046,-0.222369851211726,-0.0132124250532704,2567.20439423093,3.92696539441617,13.131091691392,0.0498165476178291,0.904604614774146,3882.61804199219,24.1883869171143,34.7416954040527,0.576706985011697,9.1325511932373,wet_season
slope,-0.00900484098589717,0.0348005751811293,-0.258755521684023,0.795823877847644,Winslow,M,1186,13046,-0.0772139683409107,0.0592042863691163,2567.20439423093,3.92696539441617,13.131091691392,0.0498165476178291,0.904604614774146,3882.61804199219,24.1883869171143,34.7416954040527,0.576706985011697,9.1325511932373,wet_season
evi_mean,0.211046720817968,0.0278563334683108,7.57625625992931,3.55668954121279e-14,Francesca,F,1821,20031,0.156448307220079,0.265645134415857,2561.4216978407,4.1744045354983,13.719701723369,0.0513291376402028,0.823495616761329,3614.44415283203,18.6611709594727,33.9949569702148,0.604270875453949,8.05476570129395,wet_season
distance_to_water_km,0.178334739299528,0.0353636421368066,5.04288383559668,4.58567661191342e-07,Francesca,F,1821,20031,0.109022000711387,0.247647477887669,2561.4216978407,4.1744045354983,13.719701723369,0.0513291376402028,0.823495616761329,3614.44415283203,18.6611709594727,33.9949569702148,0.604270875453949,8.05476570129395,wet_season
distance_to_settlement_km,0.373755536781782,0.0489589144974902,7.63406502407119,2.27465095159353e-14,Francesca,F,1821,20031,0.277796064366701,0.469715009196862,2561.4216978407,4.1744045354983,13.719701723369,0.0513291376402028,0.823495616761329,3614.44415283203,18.6611709594727,33.9949569702148,0.604270875453949,8.05476570129395,wet_season
human_modification,0.0229893469662683,0.0421893584127079,0.544908664914508,0.585816336514941,Francesca,F,1821,20031,-0.0597017955226391,0.105680489455176,2561.4216978407,4.1744045354983,13.719701723369,0.0513291376402028,0.823495616761329,3614.44415283203,18.6611709594727,33.9949569702148,0.604270875453949,8.05476570129395,wet_season
slope,0.0317011276949538,0.0277493602885489,1.14240931557747,0.25328392089792,Francesca,F,1821,20031,-0.0226876184706021,0.0860898738605096,2561.4216978407,4.1744045354983,13.719701723369,0.0513291376402028,0.823495616761329,3614.44415283203,18.6611709594727,33.9949569702148,0.604270875453949,8.05476570129395,wet_season
evi_mean,0.238753894576575,0.0486244409366517,4.91016225538974,9.10010645568903e-07,0F08,M,635,6276,0.143449990340737,0.334057798812412,2989.38263277078,1.82274403606073,4.74140073727031,0.0255982535226428,10.8968420900533,3897.50646972656,5.29919290542603,11.7911815643311,0.623018377926201,44.1255125701428,wet_season
distance_to_water_km,-0.227517359890817,0.0854292767040409,-2.66322470081331,0.00773957129867757,0F08,M,635,6276,-0.394958742230737,-0.0600759775508969,2989.38263277078,1.82274403606073,4.74140073727031,0.0255982535226428,10.8968420900533,3897.50646972656,5.29919290542603,11.7911815643311,0.623018377926201,44.1255125701428,wet_season
distance_to_settlement_km,-0.265979932428157,0.113053338940731,-2.35269417887427,0.0186379557012706,0F08,M,635,6276,-0.48756447675199,-0.0443953881043253,2989.38263277078,1.82274403606073,4.74140073727031,0.0255982535226428,10.8968420900533,3897.50646972656,5.29919290542603,11.7911815643311,0.623018377926201,44.1255125701428,wet_season
