term,estimate,std_error,statistic,p_value,individual_id,sex,n_true,n_total,ci_lb,ci_ub,evi_mean_mean,distance_to_water_km_mean,distance_to_settlement_km_mean,human_modification_mean,enerscape_mean,slope_mean,evi_mean_range,distance_to_water_km_range,distance_to_settlement_km_range,human_modification_range,enerscape_range,slope_range
distance_to_settlement_km,-0.101967032270885,0.162129399570347,-0.628923764234646,0.529398967284102,EF0241,F,8965,98565,-0.419740655428765,0.215806590886994,2842.68708021634,19.6677611214749,24.3371601234325,0.0537421874120308,128.031735018642,0.483230199810921,1672.27014160157,64.0088806152344,48.7956695556641,0.271114137023687,145.500198364258,6.62718635227066
human_modification,0.0628575877802333,0.0264321789309574,2.37807060645366,0.0174034931475075,EF0241,F,8965,98565,0.0110505170755569,0.11466465848491,2842.68708021634,19.6677611214749,24.3371601234325,0.0537421874120308,128.031735018642,0.483230199810921,1672.27014160157,64.0088806152344,48.7956695556641,0.271114137023687,145.500198364258,6.62718635227066
enerscape,-0.0142683644289295,0.0111437439240412,-1.28039234625155,0.200407184394925,EF0241,F,8965,98565,-0.0361101025200502,0.00757337366219114,2842.68708021634,19.6677611214749,24.3371601234325,0.0537421874120308,128.031735018642,0.483230199810921,1672.27014160157,64.0088806152344,48.7956695556641,0.271114137023687,145.500198364258,6.62718635227066
slope,0.00837446845589062,0.0148909588883504,0.562386110839525,0.573852980032215,EF0241,F,8965,98565,-0.0208118109652761,0.0375607478770574,2842.68708021634,19.6677611214749,24.3371601234325,0.0537421874120308,128.031735018642,0.483230199810921,1672.27014160157,64.0088806152344,48.7956695556641,0.271114137023687,145.500198364258,6.62718635227066
evi_mean,0.0950879989700955,0.0252332548637446,3.76836042292423,0.000164323325275817,EF0242,F,8310,91390,0.0456308194371561,0.144545178503035,2779.01284698744,8.42361872401357,8.84953289992241,0.0924715958960009,130.005807958858,1.17044428606172,3014.61169433594,26.5901699066162,38.9065132141113,0.614731308072805,195.05583190918,13.9094228744507
distance_to_water_km,-0.0781197231454498,0.207917463776613,-0.375724682893313,0.707121585876467,EF0242,F,8310,91390,-0.485637952147611,0.329398505856711,2779.01284698744,8.42361872401357,8.84953289992241,0.0924715958960009,130.005807958858,1.17044428606172,3014.61169433594,26.5901699066162,38.9065132141113,0.614731308072805,195.05583190918,13.9094228744507
distance_to_settlement_km,-0.486251513270258,0.231244116425633,-2.10276274608108,0.0354865140617873,EF0242,F,8310,91390,-0.939489981464498,-0.0330130450760171,2779.01284698744,8.42361872401357,8.84953289992241,0.0924715958960009,130.005807958858,1.17044428606172,3014.61169433594,26.5901699066162,38.9065132141113,0.614731308072805,195.05583190918,13.9094228744507
human_modification,-0.00661484711458516,0.0363123732104715,-0.182165100480892,0.855453160486767,EF0242,F,8310,91390,-0.0777870986071092,0.0645574043779389,2779.01284698744,8.42361872401357,8.84953289992241,0.0924715958960009,130.005807958858,1.17044428606172,3014.61169433594,26.5901699066162,38.9065132141113,0.614731308072805,195.05583190918,13.9094228744507
enerscape,-0.023999756643965,0.0124525704650212,-1.92729338182662,0.0539430779174274,EF0242,F,8310,91390,-0.0484067947554065,0.000407281467476522,2779.01284698744,8.42361872401357,8.84953289992241,0.0924715958960009,130.005807958858,1.17044428606172,3014.61169433594,26.5901699066162,38.9065132141113,0.614731308072805,195.05583190918,13.9094228744507
slope,0.0505730074377864,0.0166039654548245,3.04583911448044,0.00232031956408439,EF0242,F,8310,91390,0.0180292351463304,0.0831167797292424,2779.01284698744,8.42361872401357,8.84953289992241,0.0924715958960009,130.005807958858,1.17044428606172,3014.61169433594,26.5901699066162,38.9065132141113,0.614731308072805,195.05583190918,13.9094228744507
